OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,q.value,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu01115,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01117,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu01118,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Oscillibacter(100),
Otu01119,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Erysipelotrichia(100),Erysipelotrichales(100),Erysipelotrichaceae(100),Erysipelotrichaceae_unclassified(100),
Otu01120,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),
Otu01123,4.4e-05,0,3e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01132,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01133,4.4e-05,0,4.4e-05,0,0,0,0.237341,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Subdoligranulum(99),
Otu01134,6.6e-05,0,4.8e-05,0,0,0,0.115625,0.923356144181256,Bacteria(100),Bacteroidetes(100),Bacteroidia(100),Bacteroidales(100),Porphyromonadaceae(100),Porphyromonadaceae_unclassified(100),
Otu01136,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01140,2.2e-05,0,2.2e-05,0,0,0,0.487179,0.923356144181256,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
Otu01141,0,0,0,4.2e-05,0,2.9e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Clostridiales_unclassified(100),Clostridiales_unclassified(100),
Otu01145,0,0,0,4.2e-05,0,4.2e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Lachnospiraceae(100),Ruminococcus2(100),
Otu01146,0,0,0,4.2e-05,0,4.2e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Clostridia(100),Clostridiales(100),Ruminococcaceae(100),Ruminococcaceae_unclassified(100),
Otu01148,0,0,0,4.2e-05,0,2.9e-05,0.500323,0.923356144181256,Bacteria(100),Firmicutes(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),Firmicutes_unclassified(100),
